seconds_since_2019_07_04_utc,magnitude,event_id
186534.220,3.53,ci37261628
186537.740,3.68,ci37261620
186564.980,3.78,ci37220308
186592.420,3.83,ci38457695
186604.740,3.67,ci37261788
186611.070,3.79,ci37421773
186634.000,3.45,ci37220588
186649.350,3.79,ci37220316
186659.710,4.97,ci38457703
186680.330,3.76,ci37261844
186698.800,3.44,ci37261900
186706.160,3.23,ci37261948
186713.810,3.08,ci37261964
186723.730,3.57,ci37220596
186743.960,3.35,ci37220604
186774.840,3.6,ci37220612
186779.340,3.69,ci37220748
186800.900,3.47,ci37220908
186820.290,3.68,ci38457719
186820.350,3.27,ci37221068
186837.980,3.67,ci37221076
186849.890,3.24,ci37261980
186855.260,3.37,ci37261988
186886.840,3.5,ci38457727
186903.710,3.14,ci37221092
186920.020,4.06,ci38457735
186948.170,3.15,ci37262524
186961.640,3.48,ci37221100
186962.750,3.07,ci37262684
186970.490,3.35,ci37262860
186985.080,3.09,ci37262884
186993.520,3.53,ci37221108
187005.000,3.24,ci37262892
187032.320,3.01,ci37262916
187057.970,3.59,ci37221116
187070.900,4.31,ci37421229
187091.300,3.44,ci37262924
187105.300,3.49,ci37221124
187127.290,3.22,ci37262956
187137.000,3.15,ci37263204
187137.750,3.39,ci37263020
187150.110,3.03,ci37263212
187164.000,3.47,ci37221132
187188.610,3.53,ci38457759
187210.650,3.04,ci37221140
187236.030,3.2,ci37221148
187246.390,3.01,ci37263220
187258.520,3.2,ci37221180
187265.610,3.24,ci37221156
187322.940,2.87,ci37221172
187334.740,3,ci37221164
187362.790,3.28,ci38457767
187379.570,3.48,ci37221220
187386.160,3.11,ci37263228
187449.030,3.11,ci37221236
187493.230,3.08,ci37221388
187497.540,2.91,ci37221396
187514.130,2.83,ci37221412
187527.720,3.55,ci37221404
187540.640,3.05,ci37263236
187549.900,3.9,ci37221188
187570.320,3.13,ci37221196
187574.580,3.79,ci38457887
187591.960,3.21,ci37221204
187610.070,3.18,ci37221212
187624.570,4.68,ci38457775
187635.800,3.74,ci37263244
187657.930,3.62,ci37221428
187672.610,3.03,ci37221436
187687.770,3.13,ci37263252
187715.800,3.41,ci38457791
187725.480,3.44,ci37221444
187735.760,3,ci37263260
187750.450,2.94,ci37221452
187771.080,3.37,ci37221460
187790.190,3.45,ci37221548
187805.710,3.38,ci37221556
187806.490,3.26,ci37221564
187837.520,3.45,ci38457799
187849.060,3.69,ci37221580
187852.280,3.4,ci37221612
187858.090,3.57,ci37263324
187862.280,3.83,ci37221588
187868.920,3.49,ci37258068
187883.280,3.25,ci37221596
187913.940,3.08,ci37221604
187922.550,3.09,ci37263332
187933.840,3.86,ci38457807
187938.850,3.87,ci37221620
187964.170,3.57,ci37221628
187986.130,3.63,ci37220324
187987.080,4.8,ci38457815
188010.590,3.52,ci37263340
188035.120,3.43,ci37221636
188060.800,3.84,ci37221644
188071.370,3.74,ci37221708
188095.290,3.02,ci37263348
188099.200,3.04,ci37221716
188115.030,2.69,ci37263356
188124.200,2.94,ci37221868
188130.780,2.94,ci37263364
188161.980,3.13,ci37221876
188169.740,2.94,ci38457823
188177.230,3.52,ci38457831
188196.160,3.14,ci37221892
188208.800,3.58,ci37221884
188233.350,2.79,ci37221900
188233.710,2.84,ci37263372
188261.000,2.96,ci37221908
188287.940,3.39,ci38457839
188312.600,3.16,ci37221924
188316.030,3.63,ci37221916
188335.790,5.44,ci38457847
188355.480,4.29,ci37221932
188380.830,3.37,ci37263380
188394.940,3.83,ci38457855
188396.010,4.01,ci38457863
188406.180,3.53,ci37263396
188422.140,3.36,ci37263484
188428.200,3.68,ci37221940
188440.160,2.92,ci37263492
188446.910,3.6,ci37221948
188460.220,3.53,ci37263500
188495.820,4.17,ci38457871
188513.760,3.62,ci37222028
188536.200,3.64,ci37222036
188559.100,3.09,ci37222044
188594.240,2.93,ci37222068
188609.510,3.37,ci37222052
188609.830,3.34,ci37222060
188632.580,3.09,ci37263508
188654.940,3.26,ci38457879
188680.670,3.65,ci38457895
